"","actor1_missing_locations"
"135","UPDC: Union of Patriots for the Defense of Congo"
"136","Mayi Mayi Militia (Simba)"
"137","MDC: Movement for Democratic Change (Tsvangirai Faction)"
"138","Mayi Mayi Militia (Kifuafua-Maachano)"
"139","Seleka Militia"
"140","RTEAN: Road Transport Employers Association of Nigeria"
"141","RMJ: Renamo Military Junta"
"142","Nyatura Militia Group (Jean-Marie)"
"143","RNL: National Lumumbist Resistance (Kifagio)"
"144","Mayi Mayi Militia (Raia Mutomboki-Hamakombo)"
"145","Mayi Mayi Militia (Raia Mutomboki-Bralima)"
"146","Mayi Mayi Militia (Amani)"
"147","AFRC: Alliance of Congolese Resistance Forces"
"148","Mayi Mayi Militia (Alida)"
"149","Nyatura Militia Group"
"150","Okada Motorcycle Militia"
"151","Police Forces of Ethiopia (2018-) Amhara Regional Special Forces"
"152","Mayi Mayi Militia (Raia Mutomboki-Shukuru)"
"153","MSA: Movement for Azawad Salvation"
"154","Mayi Mayi Militia (Kapapa)"
"155","Mayi Mayi Militia (Malaika-Mbesse)"
"156","Military Forces of Senegal (2012-)"
"157","Military Forces of the Democratic Republic of Congo (2019-)"
"158","Mayi Mayi Militia (Kirikicho)"
"159","Mayi Mayi Militia (Wandombe)"
"160","Biafra Motherland Warriors"
"161","Mayi Mayi Militia (Raia Mutomboki-Makindu)"
"162","Nyatura Militia Group (Kamuviringo)"
"163","Police Forces of Ethiopia (2018-) Liyu Police"
"164","Mayi Mayi Militia (Zelamboma)"
"165","Military Forces of Angola (1975-)"
"166","FLEC: Front for the Liberation and Emancipation of the Congo"
"167","ANC: African National Congress"
"168","Military Forces of Niger (2021-) Gendarmerie"
"169","Mayi Mayi (Saga Balende)"
"170","VGN: Vigilante Group of Nigeria"
"171","UPC: Union for Peace in the Central African Republic"
"172","PF: Patriotic Front"
"173","OLF: Oromo Liberation Front (Shane Splinter Faction)"
"174","Military Forces of South Sudan (2011-)"
"175","Military Forces of Uganda (1986-) Fisheries Protection Unit"
"176","Mayi Mayi Militia (Mwenyemali)"
"177","Al-Kanni Brigade"
"178","Tripoli Revolutionaries Brigade"
"179","CNRD: National Council for Renewal and Democracy"
"180","Mayi Mayi Militia (Alaise)"
"181","AMISOM: African Union Mission in Somalia (2007-)"
"182","SLM/A-Peace and Development: Sudan Liberation Movement/Army (Peace and Development Faction)"
"183","Mayi Mayi Militia (Tshandenga)"
"184","Military Forces of Equatorial Guinea (1979-)"
"185","MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-2021)"
"186","Mayi Mayi Militia (Malaika-Souverain)"
"187","Mayi Mayi Militia (Kalenga Andre)"
"188","Mayi Mayi Militia (Kadima)"
"189","Military Forces of the Czech Republic (2018-)"
"190","Police Forces of Niger (2021-) National Guard"
"191","Ashe a Tyo"
"192","166th Brigade"
"193","Nyatura Militia Group (Musheku)"
"194","FLN: National Liberation Front"
"195","Waw Battalion"
"196","FPPH: Popular Forces for the Protection of the Hutu"
"197","GATIA: Imghad Tuareg and Allies Self-Defense Group"
"198","Military Forces of Chad (2021-)"
"199","Mayi Mayi Militia (Malaika-Sheikh Assan) Kibombo Faction"
"200","Mayi Mayi Militia (Malaika-Sheikh Assan) Kibangula Faction"
"201","Bakassi Boys Militia"
"202","Military Forces of Morocco (1999-)"
"203","Platform of June 14th 2014 movements"
